"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que el elemento clave del trabajo en caliente NO es la temperatura del proceso sino el potencial de generar fuentes de ignicion capaces de iniciar fuego en un ambiente con combustibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, la norma NFPA 51B:2024 define el trabajo en caliente (hot work). Cual es el elemento clave de esa definicion segun el curso?","C","La temperatura del proceso en si misma","El tipo de metal que se suelda","El potencial de generar fuentes de ignicion capaces de iniciar fuego en un ambiente con combustibles","El costo de la operacion","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que NFPA 51B define hot work como cualquier operacion que produzca chispas, llama abierta, calor u otras fuentes de ignicion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material define el trabajo en caliente segun NFPA 51B como cualquier operacion que produzca ciertos elementos. Cuales menciona el curso?","A","Chispas, llama abierta, calor u otras fuentes de ignicion","Solo humo","Solo ruido","Solo vibracion","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material define un espacio confinado como un recinto con medios limitados de entrada y salida, no disenado para ocupacion humana continua, y en el que pueden acumularse atmosferas peligrosas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, un espacio confinado se define con tres caracteristicas. Cuales menciona el curso?","D","Grande, iluminado y ventilado","Diseñado para ocupacion continua","Con multiples salidas amplias","Recinto con medios limitados de entrada y salida, no disenado para ocupacion humana continua, donde pueden acumularse atmosferas peligrosas","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que OSHA 29 CFR 1910.146 distingue entre espacios confinados que requieren permiso (permit-required) y los que no, segun la presencia de peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material indica que la norma OSHA 29 CFR 1910.146 distingue dos tipos de espacios confinados. Cuales son segun el curso?","B","Grandes y pequenos","Los que requieren permiso (permit-required) y los que no","Metalicos y no metalicos","Interiores y exteriores","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que la clasificacion binaria de areas (designada vs no designada) es la decision tecnica fundamental que determina si se requiere Hot Work Permit.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, la clasificacion binaria de areas para trabajos en caliente segun NFPA 51B es la decision tecnica fundamental. Que determina esa clasificacion segun el curso?","C","El color del uniforme","El salario del soldador","Si se requiere un permiso de trabajo en caliente (Hot Work Permit)","El tipo de electrodo","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que el area designada requiere construccion no combustible o proteccion equivalente, sin combustibles dentro de 35 ft, ventilacion adecuada, equipo de extincion en sitio y senalizacion permanente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material describe el area designada (Designated Area) para trabajos en caliente. Cual de las siguientes es una caracteristica requerida segun el curso?","A","Construccion no combustible, sin combustibles dentro de 35 ft, ventilacion adecuada y equipo de extincion en sitio","Presencia de combustibles cercanos","Ausencia de extintores","Sin senalizacion","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que el area designada es permit-free: no requiere permiso, por cumplir las condiciones permanentes de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, en un area designada para trabajos en caliente, se requiere permiso. Que establece el curso al respecto?","D","Siempre requiere permiso","Requiere doble permiso","Requiere permiso solo de noche","No requiere permiso (es permit-free)","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que basta con que se cumpla uno de los criterios de peligro para exigir el regimen de permiso completo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material lista los seis criterios de un espacio confinado que requiere permiso. Segun el curso, cuantos criterios deben cumplirse para exigir el regimen de permiso completo?","B","Los seis a la vez","Basta con que se cumpla uno","Al menos tres","Ninguno, es opcional","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material indica que un espacio requiere permiso si presenta una atmosfera peligrosa real o potencial, material con potencial de sepultar, configuracion que atrape o asfixie, o cualquier otro peligro grave reconocido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","Segun el material, entre los criterios que hacen que un espacio confinado requiera permiso se incluyen varios peligros. Cual de los siguientes menciona el curso?","C","Buena iluminacion","Temperatura agradable","Una atmosfera peligrosa real o potencial","Facil acceso","","","","","",""
"multiplechoice","ECF","S1 Definicion y Marco Normativo","Yes","¡Correcto! El material define al PAI (Permit Authorizing Individual) como la persona competente designada por la administracion para autorizar trabajos en caliente mediante la emision del permiso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ECF.","1","El material define la Persona que Autoriza la Intervencion (PAI, tambien llamada Permit Authorizing Individual en el contexto de trabajo en caliente). Segun el curso, quien designa a esta figura?","A","Es una persona competente designada por la administracion","Es elegida por votacion de los operarios","Es el propio soldador","Es un contratista externo cualquiera","","","","","",""
